,Emp_ID,Target
290,1869,1
291,570,0
292,2012,0
293,323,1
294,1249,0
295,1989,0
296,1830,0
297,2496,1
298,446,1
299,1475,0
300,1972,1
301,639,0
302,1888,0
303,710,0
304,2639,0
305,2014,0
306,848,0
307,2781,0
308,2199,0
309,357,0
310,494,0
311,1178,0
312,2611,0
313,2728,0
314,1149,0
315,521,0
316,375,0
317,2763,1
318,192,0
319,658,0
320,109,0
321,2052,0
322,1752,0
323,2483,0
324,2386,0
325,2205,0
326,2347,0
327,2569,0
328,644,0
329,2449,0
330,1230,1
331,1652,0
332,698,0
333,1200,0
334,1078,0
335,1592,0
336,210,0
337,1144,0
338,1980,0
339,2096,1
340,752,0
341,258,0
342,2610,0
343,2217,0
344,362,0
345,619,1
346,1527,0
347,999,0
348,431,0
349,1793,0
350,501,0
351,483,0
352,1605,1
353,1836,0
354,2464,0
355,1914,0
356,271,0
357,1805,0
358,2446,1
359,1741,1
360,2078,0
361,45,0
362,721,0
363,265,0
364,806,1
365,587,0
366,1884,0
367,617,0
368,1070,1
369,2082,1
370,137,0
371,2788,0
372,1447,0
373,960,1
374,2208,0
375,865,0
376,472,0
377,441,0
378,2699,0
379,740,1
380,1837,0
381,782,0
382,2715,0
383,2344,0
384,2169,0
385,889,0
386,233,0
387,2497,0
388,1495,0
389,509,0
390,981,0
391,276,0
392,31,0
393,2511,0
394,1801,0
395,595,1
396,2178,0
397,324,0
398,52,1
399,1599,0
400,1393,0
401,643,0
402,1505,0
403,129,0
404,1956,0
405,2276,0
406,1419,0
407,2664,0
408,1372,0
409,785,1
410,1097,0
411,1831,0
412,409,0
413,289,0
414,673,0
415,225,0
416,1776,1
417,1345,0
418,2322,0
419,648,0
420,1399,0
421,2761,1
422,1231,0
423,571,1
424,1962,0
425,1594,0
426,2705,1
427,2498,0
428,2090,0
429,6,0
430,1073,0
431,1433,0
432,2439,0
433,1666,1
434,1118,1
435,1087,1
436,1871,0
437,345,0
438,597,0
439,1214,0
440,2587,0
441,1099,0
442,959,0
443,2672,0
444,1676,0
445,583,0
446,1032,1
447,1341,0
448,2089,1
449,1764,0
450,1116,0
451,1637,1
452,1514,0
453,2423,0
454,458,1
455,376,0
456,1169,0
457,2686,1
458,2254,1
459,1054,0
460,524,0
461,122,1
462,2752,0
463,988,1
464,1015,0
465,218,0
466,2345,0
467,39,0
468,737,1
469,2424,0
470,2188,0
471,1428,0
472,2646,1
473,2331,0
474,642,0
475,2135,0
476,1198,0
477,559,1
478,875,0
479,982,0
480,1114,0
481,243,0
482,548,0
483,1159,0
484,1489,0
485,2566,0
486,2097,0
487,678,0
488,712,0
489,681,0
490,801,0
491,1981,1
492,273,0
493,547,0
494,1468,0
495,1325,0
496,1518,0
497,902,0
498,1712,1
499,2311,0
500,237,0
501,1268,0
502,2537,0
503,2378,0
504,104,0
505,510,1
506,1828,0
507,2277,0
508,2139,0
509,1401,0
510,620,0
511,348,0
512,2230,1
513,531,0
514,1707,0
515,1696,0
516,2565,1
517,936,1
518,1056,0
519,2440,0
520,1724,0
521,1815,0
522,2202,1
523,1634,0
524,2043,0
525,1807,1
526,2654,1
527,135,0
528,1066,0
529,1586,1
530,546,0
531,594,0
532,449,0
533,415,1
534,2058,0
535,2418,0
536,331,0
537,2500,0
538,2343,0
539,1965,0
540,114,0
541,1416,0
542,591,0
543,2426,0
544,1125,0
545,1438,0
546,1322,0
547,1286,0
548,1434,0
549,867,0
550,2645,0
551,2640,0
552,385,0
553,1725,0
554,427,0
555,499,0
556,1381,0
557,1550,0
558,1804,0
559,543,0
560,80,0
561,1710,0
562,1190,1
563,1115,0
564,97,0
565,1019,1
566,462,0
567,1873,0
568,2764,1
569,2775,0
570,2260,0
571,47,0
572,1014,0
573,1622,0
574,206,0
575,1199,1
576,85,0
577,2018,0
578,281,1
579,263,1
580,403,0
581,2395,0
582,1294,0
583,134,0
584,646,0
585,885,0
586,1462,0
587,2153,0
588,14,0
589,72,1
590,382,0
591,2722,0
592,754,1
593,1766,1
594,420,1
595,294,1
596,1839,0
597,2032,0
598,459,0
599,963,0
600,1775,1
601,1999,0
602,366,0
603,793,0
604,1515,1
605,2191,0
606,2538,0
607,1723,0
608,202,0
609,1626,0
610,1153,0
611,1379,0
612,769,1
613,417,0
614,498,0
615,1802,0
616,181,0
617,2307,1
618,1618,0
619,2,0
620,2279,0
621,1351,0
622,283,1
623,2469,0
624,650,0
625,2627,0
626,2348,0
627,2515,0
628,412,0
629,751,1
630,2678,0
631,1201,0
632,1529,0
633,457,0
634,1026,1
635,814,0
636,335,0
637,1791,0
638,1625,0
639,1501,1
640,763,0
641,2635,0
642,1107,1
643,2411,0
644,534,0
645,952,0
646,1412,0
647,62,1
648,2770,0
649,2140,0
650,2778,0
651,2428,0
652,2571,0
653,1324,0
654,2239,0
655,1227,1
656,1448,0
657,2290,0
658,1209,0
659,2550,1
660,1358,0
661,540,0
662,306,1
663,810,1
664,2631,0
665,1740,0
666,2030,0
667,834,1
668,1632,0
669,2298,0
670,11,0
671,1521,0
672,1650,0
673,1273,0
674,1619,0
675,1157,0
676,398,0
677,1568,0
678,148,0
679,664,0
680,310,1
681,825,1
682,1955,0
683,1812,0
684,1194,0
685,1880,0
686,599,0
687,816,1
688,508,0
689,309,0
690,1328,0
691,1162,0
692,733,1
693,2039,0
694,378,0
695,2360,0
696,824,0
697,1708,0
698,511,0
699,2060,0
700,802,0
701,1925,0
702,297,0
703,715,0
704,2233,0
705,1195,0
706,1145,0
707,748,0
708,1971,0
709,1029,0
710,288,0
711,2521,0
712,575,0
713,2261,1
714,561,0
715,274,0
716,913,0
717,622,0
718,205,1
719,1210,0
720,711,0
721,2088,0
722,2522,0
723,1188,0
724,1111,0
725,2753,1
726,638,0
727,440,1
728,2660,0
729,2487,0
730,2196,0
731,2725,0
732,2314,0
733,819,0
734,2189,0
735,2251,0
736,2134,0
737,2255,0
738,448,0
739,1644,0
740,624,0
